First Index,Second Index,Similarity,Total Neighbors a,Total Neighbors a_star,Matching Neighbor Pairs,total_b,total_b_star,b / a_neigh,b_star / a_star_neigh
7637,17662,0.7155495882034302,35,38,13,13,13,0.3714286,0.3421053
2352,18947,0.8623287677764893,27,32,7,7,7,0.2592593,0.21875
953,16203,0.8505160808563232,38,51,17,17,17,0.4473684,0.3333333
7475,14567,0.7713133096694946,9,8,0,0,0,0.0,0.0
3514,14221,0.7548313140869141,26,26,9,9,9,0.3461538,0.3461538
2697,15805,0.644327700138092,6,5,3,3,3,0.5,0.6
5096,13788,0.7607555389404297,9,7,2,2,2,0.2222222,0.2857143
6128,16070,0.8575353026390076,32,52,10,10,10,0.3125,0.1923077
4062,12634,0.7510499358177185,7,5,1,1,1,0.1428571,0.2
8313,11766,0.8317099809646606,29,11,6,6,6,0.2068966,0.5454545
7465,14000,0.8561357259750366,20,12,5,5,5,0.25,0.4166667
4965,10866,0.8394073843955994,167,370,50,50,50,0.2994012,0.1351351
4013,18641,0.7589229345321655,120,132,32,32,32,0.2666667,0.2424242
8139,13312,0.8528741598129272,19,14,2,2,2,0.1052632,0.1428571
9556,19042,0.8797179460525513,5,5,1,1,1,0.2,0.2
5766,16778,0.8218792080879211,80,91,10,10,10,0.125,0.1098901
4940,10400,0.7349728345870972,40,34,3,3,3,0.075,0.0882353
6088,10004,0.8383070230484009,9,16,1,1,1,0.1111111,0.0625
5874,16576,0.845549464225769,22,36,4,4,4,0.1818182,0.1111111
1140,13949,0.8111245632171631,94,85,24,24,24,0.2553191,0.2823529
3260,16044,0.8294045925140381,327,290,72,72,72,0.2201835,0.2482759
1603,15287,0.7538578510284424,7,13,2,2,2,0.2857143,0.1538462
